Column3	Column4	Column5
3337519.5702	1742282.3889	5131459.1685
3337519.6451	1742282.4150	5131459.2026
3337519.7252	1742282.5342	5131459.3762
3337519.6696	1742282.5701	5131459.4291
3337519.7094	1742282.5841	5131459.4219
3337519.6455	1742282.5273	5131459.3497
3337519.6336	1742282.4693	5131459.3261
3337519.6109	1742282.4837	5131459.3276
3337519.6597	1742282.5119	5131459.3775
3337519.6538	1742282.5212	5131459.3754
3337519.6867	1742282.4770	5131459.3736
3337519.6928	1742282.4774	5131459.3698
3337519.6891	1742282.4718	5131459.3763
3337519.6803	1742282.4575	5131459.3792
3337519.6809	1742282.4534	5131459.3852
3337519.6789	1742282.4616	5131459.3852
3337519.6760	1742282.4687	5131459.3827
3337519.6756	1742282.4745	5131459.3857
3337519.6653	1742282.4953	5131459.3840
3337519.6749	1742282.4825	5131459.3893
3337519.6647	1742282.4925	5131459.3877
3337519.6760	1742282.4717	5131459.3908
3337519.6749	1742282.4664	5131459.3921
3337519.6746	1742282.4557	5131459.3890
3337519.6772	1742282.4542	5131459.3927
3337519.6790	1742282.4562	5131459.3958
3337519.6798	1742282.4610	5131459.3989
3337519.6870	1742282.4594	5131459.4013
3337519.6886	1742282.4626	5131459.4036
3337519.6927	1742282.4585	5131459.4072
3337519.6870	1742282.4615	5131459.4030
3337519.6767	1742282.4729	5131459.3987
3337519.6705	1742282.4804	5131459.3972
3337519.6697	1742282.4810	5131459.3963
3337519.6699	1742282.4764	5131459.3964
3337519.6694	1742282.4763	5131459.3953
3337519.6681	1742282.4790	5131459.3960
3337519.6650	1742282.4839	5131459.3955
3337519.6632	1742282.4857	5131459.3954
3337519.6602	1742282.4922	5131459.3963
3337519.6578	1742282.4976	5131459.3970
3337519.6557	1742282.5018	5131459.3977
3337519.6540	1742282.5037	5131459.3970
3337519.6506	1742282.5107	5131459.3970
3337519.6486	1742282.5138	5131459.3962
3337519.6413	1742282.5241	5131459.3942
3337519.6335	1742282.5361	5131459.3918
3337519.6261	1742282.5463	5131459.3898
3337519.6198	1742282.5565	5131459.3883
3337519.6119	1742282.5683	5131459.3859
3337519.6060	1742282.5776	5131459.3841
3337519.6018	1742282.5846	5131459.3834
3337519.5979	1742282.5915	5131459.3832
3337519.5946	1742282.5969	5131459.3822
3337519.5875	1742282.6101	5131459.3805
3337519.5879	1742282.6099	5131459.3801
3337519.5873	1742282.6115	5131459.3800
3337519.5920	1742282.6035	5131459.3812
3337519.5945	1742282.5999	5131459.3821
3337519.5954	1742282.5992	5131459.3824
3337519.5965	1742282.5972	5131459.3825
3337519.5960	1742282.5976	5131459.3823
3337519.5966	1742282.5967	5131459.3824
3337519.5959	1742282.5972	5131459.3819
3337519.5950	1742282.5983	5131459.3820
3337519.5962	1742282.5969	5131459.3825
3337519.5967	1742282.5963	5131459.3825
3337519.5962	1742282.5975	5131459.3822
3337519.5977	1742282.5960	5131459.3831
3337519.5975	1742282.5959	5131459.3826
3337519.5987	1742282.5940	5131459.3829
3337519.5989	1742282.5933	5131459.3833
3337519.5987	1742282.5930	5131459.3835
3337519.5994	1742282.5912	5131459.3837
3337519.6007	1742282.5888	5131459.3843
3337519.5999	1742282.5899	5131459.3842
3337519.5991	1742282.5911	5131459.3840
3337519.5990	1742282.5915	5131459.3840
3337519.5985	1742282.5922	5131459.3839
3337519.5995	1742282.5911	5131459.3840
